                                                                                                                                                                                      Parsing Stack                                                                                                                                                                                      
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
||       ||                           States                           |                                                                                 Stack                                                                                 |       Token        |                                             Action                                              |  String Range  ||
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
||   0   ||                            (0)                             |                                                                                   $                                                                                   |   PrintFunction    |                                               ---                                               |      ---       ||
||-------||------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------|-------------------------------------------------------------------------------------------------|----------------||
||   1   ||                           (0)(7)                           |                                                                           ${PrintFunction}                                                                            |  LeftParenthesis   |                                            Shift(7)                                             |     0 - 5      ||
||-------||------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------|-------------------------------------------------------------------------------------------------|----------------||
||   2   ||                         (0)(7)(13)                         |                                                                   ${PrintFunction}{LeftParenthesis}                                                                   |       String       |                                            Shift(13)                                            |     0 - 6      ||
||-------||------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------|-------------------------------------------------------------------------------------------------|----------------||
||   3   ||                       (0)(7)(13)(11)                       |                                                               ${PrintFunction}{LeftParenthesis}{String}                                                               |       Comma        |                                            Shift(11)                                            |     0 - 23     ||
||-------||------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------|-------------------------------------------------------------------------------------------------|----------------||
||   4   ||                       (0)(7)(13)(18)                       |                                                              ${PrintFunction}{LeftParenthesis}{Constant}                                                              |       Comma        |                                   Reduce(Constant --> String)                                   |     0 - 23     ||
||-------||------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------|-------------------------------------------------------------------------------------------------|----------------||
||   5   ||                       (0)(7)(13)(15)                       |                                                             ${PrintFunction}{LeftParenthesis}{Expression}                                                             |       Comma        |                                 Reduce(Expression --> Constant)                                 |     0 - 23     ||
||-------||------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------|-------------------------------------------------------------------------------------------------|----------------||
||   6   ||                     (0)(7)(13)(15)(68)                     |                                                         ${PrintFunction}{LeftParenthesis}{Expression}{Comma}                                                          |       Minus        |                                            Shift(68)                                            |     0 - 24     ||
||-------||------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------|-------------------------------------------------------------------------------------------------|----------------||
||   7   ||                   (0)(7)(13)(15)(68)(80)                   |                                                      ${PrintFunction}{LeftParenthesis}{Expression}{Comma}{Minus}                                                      |      Integer       |                                            Shift(80)                                            |     0 - 25     ||
||-------||------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------|-------------------------------------------------------------------------------------------------|----------------||
||   8   ||                 (0)(7)(13)(15)(68)(80)(10)                 |                                                 ${PrintFunction}{LeftParenthesis}{Expression}{Comma}{Minus}{Integer}                                                  |      Multiply      |                                            Shift(10)                                            |     0 - 26     ||
||-------||------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------|-------------------------------------------------------------------------------------------------|----------------||
||   9   ||                 (0)(7)(13)(15)(68)(80)(37)                 |                                                 ${PrintFunction}{LeftParenthesis}{Expression}{Comma}{Minus}{Constant}                                                 |      Multiply      |                                  Reduce(Constant --> Integer)                                   |     0 - 26     ||
||-------||------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------|-------------------------------------------------------------------------------------------------|----------------||
||  10   ||                 (0)(7)(13)(15)(68)(80)(88)                 |                                                ${PrintFunction}{LeftParenthesis}{Expression}{Comma}{Minus}{Expression}                                                |      Multiply      |                                 Reduce(Expression --> Constant)                                 |     0 - 26     ||
||-------||------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------|-------------------------------------------------------------------------------------------------|----------------||
||  11   ||                   (0)(7)(13)(15)(68)(79)                   |                                                   ${PrintFunction}{LeftParenthesis}{Expression}{Comma}{Expression}                                                    |      Multiply      |                             Reduce(Expression --> Minus Expression)                             |     0 - 26     ||
||-------||------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------|-------------------------------------------------------------------------------------------------|----------------||
||  12   ||                 (0)(7)(13)(15)(68)(79)(93)                 |                                              ${PrintFunction}{LeftParenthesis}{Expression}{Comma}{Expression}{Multiply}                                               |       Minus        |                                            Shift(93)                                            |     0 - 27     ||
||-------||------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------|-------------------------------------------------------------------------------------------------|----------------||
