                                                                                                                                                                                                                                                                                         Parsing Stack                                                                                                                                                                                                                                                                                         
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
||       ||                                            States                                            |                                                                                                                             Stack                                                                                                                             |        Token         |                                                                                  Action                                                                                   |  String Range  ||
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
||   0   ||                                             (0)                                              |                                                                                                                               $                                                                                                                               |     IntegerType      |                                                                                    ---                                                                                    |      ---       ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||   1   ||                                           (0)(30)                                            |                                                                                                                        ${IntegerType}                                                                                                                         |      Identifier      |                                                                                 Shift(30)                                                                                 |     0 - 3      ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||   2   ||                                           (0)(19)                                            |                                                                                                                       ${TypeDefinition}                                                                                                                       |      Identifier      |                                                                  Reduce(TypeDefinition --> IntegerType)                                                                   |     0 - 3      ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||   3   ||                                         (0)(19)(349)                                         |                                                                                                                 ${TypeDefinition}{Identifier}                                                                                                                 |        Equals        |                                                                                Shift(349)                                                                                 |     0 - 4      ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||   4   ||                                      (0)(19)(349)(280)                                       |                                                                                                             ${TypeDefinition}{Identifier}{Equals}                                                                                                             |        Double        |                                                                                Shift(280)                                                                                 |     0 - 5      ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||   5   ||                                    (0)(19)(349)(280)(297)                                    |                                                                                                         ${TypeDefinition}{Identifier}{Equals}{Double}                                                                                                         |         Plus         |                                                                                Shift(297)                                                                                 |     0 - 8      ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||   6   ||                                    (0)(19)(349)(280)(290)                                    |                                                                                                        ${TypeDefinition}{Identifier}{Equals}{Constant}                                                                                                        |         Plus         |                                                                        Reduce(Constant --> Double)                                                                        |     0 - 8      ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||   7   ||                                    (0)(19)(349)(280)(283)                                    |                                                                                                        ${TypeDefinition}{Identifier}{Equals}{Terminal}                                                                                                        |         Plus         |                                                                       Reduce(Terminal --> Constant)                                                                       |     0 - 8      ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||   8   ||                                    (0)(19)(349)(280)(281)                                    |                                                                                                       ${TypeDefinition}{Identifier}{Equals}{Expression}                                                                                                       |         Plus         |                                                                      Reduce(Expression --> Terminal)                                                                      |     0 - 8      ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||   9   ||                                 (0)(19)(349)(280)(281)(302)                                  |                                                                                                    ${TypeDefinition}{Identifier}{Equals}{Expression}{Plus}                                                                                                    |        Float         |                                                                                Shift(302)                                                                                 |     0 - 9      ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  10   ||                               (0)(19)(349)(280)(281)(302)(296)                               |                                                                                                ${TypeDefinition}{Identifier}{Equals}{Expression}{Plus}{Float}                                                                                                 |        Comma         |                                                                                Shift(296)                                                                                 |     0 - 13     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  11   ||                               (0)(19)(349)(280)(281)(302)(290)                               |                                                                                               ${TypeDefinition}{Identifier}{Equals}{Expression}{Plus}{Constant}                                                                                               |        Comma         |                                                                        Reduce(Constant --> Float)                                                                         |     0 - 13     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  12   ||                               (0)(19)(349)(280)(281)(302)(283)                               |                                                                                               ${TypeDefinition}{Identifier}{Equals}{Expression}{Plus}{Terminal}                                                                                               |        Comma         |                                                                       Reduce(Terminal --> Constant)                                                                       |     0 - 13     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  13   ||                               (0)(19)(349)(280)(281)(302)(329)                               |                                                                                              ${TypeDefinition}{Identifier}{Equals}{Expression}{Plus}{Expression}                                                                                              |        Comma         |                                                                      Reduce(Expression --> Terminal)                                                                      |     0 - 13     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  14   ||                                    (0)(19)(349)(280)(281)                                    |                                                                                                       ${TypeDefinition}{Identifier}{Equals}{Expression}                                                                                                       |        Comma         |                                                             Reduce(Expression --> Expression Plus Expression)                                                             |     0 - 13     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  15   ||                                         (0)(19)(342)                                         |                                                                                                          ${TypeDefinition}{LvalueDeclarationFormat}                                                                                                           |        Comma         |                                                     Reduce(LvalueDeclarationFormat --> Identifier Equals Expression)                                                      |     0 - 13     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  16   ||                                           (0)(21)                                            |                                                                                                                     ${LvalueDeclaration}                                                                                                                      |        Comma         |                                                   Reduce(LvalueDeclaration --> TypeDefinition LvalueDeclarationFormat)                                                    |     0 - 13     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  17   ||                                         (0)(21)(275)                                         |                                                                                                                  ${LvalueDeclaration}{Comma}                                                                                                                  |      Identifier      |                                                                                Shift(275)                                                                                 |     0 - 14     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  18   ||                                      (0)(21)(275)(279)                                       |                                                                                                            ${LvalueDeclaration}{Comma}{Identifier}                                                                                                            |        Equals        |                                                                                Shift(279)                                                                                 |     0 - 15     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  19   ||                                    (0)(21)(275)(279)(280)                                    |                                                                                                        ${LvalueDeclaration}{Comma}{Identifier}{Equals}                                                                                                        |       Integer        |                                                                                Shift(280)                                                                                 |     0 - 16     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  20   ||                                 (0)(21)(275)(279)(280)(294)                                  |                                                                                                   ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Integer}                                                                                                    |         Star         |                                                                                Shift(294)                                                                                 |     0 - 17     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  21   ||                                 (0)(21)(275)(279)(280)(290)                                  |                                                                                                   ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Constant}                                                                                                   |         Star         |                                                                       Reduce(Constant --> Integer)                                                                        |     0 - 17     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  22   ||                                 (0)(21)(275)(279)(280)(283)                                  |                                                                                                   ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Terminal}                                                                                                   |         Star         |                                                                       Reduce(Terminal --> Constant)                                                                       |     0 - 17     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  23   ||                                 (0)(21)(275)(279)(280)(281)                                  |                                                                                                  ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Expression}                                                                                                  |         Star         |                                                                      Reduce(Expression --> Terminal)                                                                      |     0 - 17     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  24   ||                               (0)(21)(275)(279)(280)(281)(310)                               |                                                                                               ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Expression}{Star}                                                                                               |        Float         |                                                                                Shift(310)                                                                                 |     0 - 18     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  25   ||                            (0)(21)(275)(279)(280)(281)(310)(296)                             |                                                                                           ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Expression}{Star}{Float}                                                                                            |         Plus         |                                                                                Shift(296)                                                                                 |     0 - 22     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  26   ||                            (0)(21)(275)(279)(280)(281)(310)(290)                             |                                                                                          ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Expression}{Star}{Constant}                                                                                          |         Plus         |                                                                        Reduce(Constant --> Float)                                                                         |     0 - 22     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  27   ||                            (0)(21)(275)(279)(280)(281)(310)(283)                             |                                                                                          ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Expression}{Star}{Terminal}                                                                                          |         Plus         |                                                                       Reduce(Terminal --> Constant)                                                                       |     0 - 22     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  28   ||                            (0)(21)(275)(279)(280)(281)(310)(321)                             |                                                                                         ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Expression}{Star}{Expression}                                                                                         |         Plus         |                                                                      Reduce(Expression --> Terminal)                                                                      |     0 - 22     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  29   ||                                 (0)(21)(275)(279)(280)(281)                                  |                                                                                                  ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Expression}                                                                                                  |         Plus         |                                                             Reduce(Expression --> Expression Star Expression)                                                             |     0 - 22     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  30   ||                               (0)(21)(275)(279)(280)(281)(302)                               |                                                                                               ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Expression}{Plus}                                                                                               |       Integer        |                                                                                Shift(302)                                                                                 |     0 - 23     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  31   ||                            (0)(21)(275)(279)(280)(281)(302)(294)                             |                                                                                          ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Expression}{Plus}{Integer}                                                                                           |        Comma         |                                                                                Shift(294)                                                                                 |     0 - 24     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  32   ||                            (0)(21)(275)(279)(280)(281)(302)(290)                             |                                                                                          ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Expression}{Plus}{Constant}                                                                                          |        Comma         |                                                                       Reduce(Constant --> Integer)                                                                        |     0 - 24     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  33   ||                            (0)(21)(275)(279)(280)(281)(302)(283)                             |                                                                                          ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Expression}{Plus}{Terminal}                                                                                          |        Comma         |                                                                       Reduce(Terminal --> Constant)                                                                       |     0 - 24     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  34   ||                            (0)(21)(275)(279)(280)(281)(302)(329)                             |                                                                                         ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Expression}{Plus}{Expression}                                                                                         |        Comma         |                                                                      Reduce(Expression --> Terminal)                                                                      |     0 - 24     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  35   ||                                 (0)(21)(275)(279)(280)(281)                                  |                                                                                                  ${LvalueDeclaration}{Comma}{Identifier}{Equals}{Expression}                                                                                                  |        Comma         |                                                             Reduce(Expression --> Expression Plus Expression)                                                             |     0 - 24     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  36   ||                                      (0)(21)(275)(277)                                       |                                                                                                     ${LvalueDeclaration}{Comma}{LvalueDeclarationFormat}                                                                                                      |        Comma         |                                                     Reduce(LvalueDeclarationFormat --> Identifier Equals Expression)                                                      |     0 - 24     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  37   ||                                    (0)(21)(275)(277)(275)                                    |                                                                                                  ${LvalueDeclaration}{Comma}{LvalueDeclarationFormat}{Comma}                                                                                                  |      FloatType       |                                                                                Shift(275)                                                                                 |     0 - 25     ||
||-------||----------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------||
||  38   ||                                  (0)(21)(275)(277)(275)(32)                                  |                                                                                            ${LvalueDeclaration}{Comma}{LvalueDeclarationFormat}{Comma}{FloatType}                                                                                             |      Identifier      |                                                                                 Shift(32)                                                                                 |     0 - 30     ||
